make_model,body_type,km,gear_type,fuel_type,price
Toyota Camry,Sedans,12000.0,Manuel,Electric/Gasoline,39950.0
Volkswagen Tiguan,Off-Road/Pick-up,205921.0,Manuel,Gasoline,7950.0
Toyota Aygo,Compact,110197.0,Manuel,Gasoline,4700.0
Opel Astra,Station wagon,132177.0,Manuel,Gasoline,10940.0
Volkswagen Passat,Sedans,173841.0,Automatic,Electric/Gasoline,15885.0
Volkswagen Golf,,174759.0,Automatic,Gasoline,7950.0
Volkswagen Passat,Station wagon,327263.0,Automatic,Diesel,5190.0
Volkswagen Polo,Compact,278000.0,Manuel,Diesel,3100.0
Toyota Auris,Station wagon,84507.0,Automatic,Electric/Gasoline,12700.0
Toyota Yaris,,64468.0,Automatic,Electric/Gasoline,10750.0
Volkswagen Golf,Station wagon,100400.0,Manuel,,11500.0
Opel Corsa,Compact,,Automatic,Electric,24500.0
Toyota C-HR,Off-Road/Pick-up,72637.0,,Electric/Gasoline,21990.0
Honda Jazz,Van,81345.0,Automatic,Electric/Gasoline,12994.0
Honda Jazz,Van,49748.0,Manuel,Gasoline,13835.0
Volkswagen Golf,Compact,121889.0,Semi-automatic,,7450.0
Volkswagen Touran,Van,94414.0,Automatic,Gasoline,22900.0
Volkswagen Golf,Compact,,Automatic,,22500.0
Opel Insignia,,30187.0,Automatic,Gasoline,27500.0
Toyota Verso-S,Van,36970.0,Manuel,Gasoline,
Toyota Verso-S,Van,80255.0,Manuel,Gasoline,7950.0
Opel Zafira Tourer,Van,48601.0,Automatic,Gasoline,27950.0
Opel Crossland X,Off-Road/Pick-up,89690.0,Semi-automatic,Gasoline,16950.0
Toyota Proace,Transporter,,Manuel,Electric,46950.0
Volkswagen Polo,Compact,191580.0,Manuel,Diesel,4950.0
Volkswagen T6 Transporter,Transporter,160311.0,Manuel,Diesel,26845.0
Volkswagen T-Cross,Off-Road/Pick-up,45742.0,Semi-automatic,Gasoline,20950.0
Volkswagen Passat Variant,Station wagon,148245.0,Manuel,Diesel,14745.0
Toyota Verso,Van,94892.0,Automatic,Gasoline,12495.0
Opel Astra,Station wagon,84578.0,Manuel,Diesel,10900.0
Opel Movano,Transporter,98195.0,,Diesel,21450.0
Opel Vivaro,Transporter,223041.0,Semi-automatic,Diesel,9445.0
Volkswagen Golf Variant,Station wagon,133404.0,Manuel,Diesel,13445.0
Toyota Auris,Compact,124461.0,Automatic,Electric/Gasoline,8990.0
Volkswagen Golf,Compact,1254.0,Manuel,Electric/Gasoline,37900.0
Volkswagen Tiguan,Off-Road/Pick-up,60037.0,Automatic,Gasoline,26995.0
Opel Insignia,Station wagon,99864.0,Automatic,Gasoline,26740.0
Opel Mokka,,,Manuel,Gasoline,14900.0
Opel Karl,Compact,47772.0,Automatic,Gasoline,10400.0
Volkswagen Golf Plus,Other,109507.0,Manuel,Gasoline,8450.0
Opel Astra,Van,155206.0,Manuel,Gasoline,5000.0
